sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2023/0004947-2,25907-23-SP-ALV,63fe7e75227d0900084ef631,NULL,SMUL/PARHIS/DPS,2023-06-28,2023-06-28,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004947-2,25907-23-SP-ALV,63fe7e75227d0900084ef631,NULL,SMUL/PARHIS/DPS,2023-08-21,2023-08-21,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003788-1,25910-23-SP-ALV,63fe9b941a4bd20008c71ce0,NULL,SMUL/RESID/DRGP,2023-04-13,2023-04-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003590-0,25914-23-SP-CCE,63ff38659b208e0008ac5c2c,NULL,SMUL/PARHIS/DHIS,2023-05-09,2023-05-09,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003786-5,25916-23-SP-CDT,63ff4dfd84d4070008162f02,NULL,SMUL/CONTRU/DINS,2023-05-02,2023-05-02,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003785-7,25917-23-SP-CER,63ff51217cf6d500090ebceb,NULL,SMUL/CONTRU/DINS,2023-05-02,2023-05-02,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003862-4,25918-23-SP-AUT,63ff556c8633540008d1aaf3,NULL,SMUL/CAP,2023-03-07,2023-03-07,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003424-6,25919-23-SP-ALV,63ff55cf73cd8b000867a81a,NULL,,2023-03-01,2023-03-01,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010633-6,29279-23-SP-TAX,6477af9cd86e21000874b466,NULL,SMUL/CONTRU/DINS,2023-07-28,2023-07-28,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010633-6,29279-23-SP-TAX,6477af9cd86e21000874b466,NULL,SMUL/CONTRU/DINS,2023-07-28,2023-07-28,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010126-1,29283-23-SP-ALV,6477bc6282959c0008c50234,NULL,,2023-05-31,2023-05-31,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010175-0,29287-23-SP-TAX,6477c765ed3584000804c207,NULL,SMUL/PARHIS,2023-07-13,2023-07-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010783-9,29289-23-SP-ALV,6477d6276dd60200081ac5c2,NULL,SMUL/RESID/DRGP,2023-07-31,2023-07-31,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010927-0,29295-23-SP-AUT,64788f8f057eae00085bdca7,NULL,SMUL/CAP,2023-06-13,2023-06-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010818-5,29303-23-SP-CCE,6478a74ec6382f0008c10e71,NULL,SMUL/RESID/DRGP,2023-07-05,2023-07-05,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010184-9,29310-23-SP-TAX,6478b4148a497f00084843ce,NULL,SMUL/PARHIS,2023-07-13,2023-07-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010184-9,29310-23-SP-TAX,6478b4148a497f00084843ce,NULL,SMUL/PARHIS,2023-07-13,2023-07-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0010551-8,29313-23-SP-CDT,6478b8b9ad6eae00084cd8a4,NULL,SMUL/CONTRU/DINS,2023-07-04,2023-07-04,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004038-6,25921-23-SP-AUT,63ff5b83c32641000946453b,NULL,SMUL/CAP,2023-03-09,2023-03-09,2023-08-31 14:46:00
AprovaDigital,1020.2023/0006573-7,25922-23-SP-ERB,63ff61429f93590008f38cd2,NULL,SMUL/CAP,2023-04-13,2023-04-13,2023-08-31 14:46:00
