processo;despacho;contagem_dispatched;contagem_dom
1020.2022/0017162-4;Despacho deferido;1;correto
1020.2022/0017163-2;Despacho deferido;1;correto
1020.2022/0017164-0;Despacho deferido;1;correto
1020.2022/0017165-9;Despacho deferido;1;correto
1020.2022/0017166-7;Despacho deferido;1;correto
1020.2022/0017167-5;Despacho deferido;1;correto
1020.2022/0017170-5;Despacho deferido;1;correto
1020.2022/0017153-5;Despacho deferido;1;correto
1020.2022/0017171-3;Despacho deferido;1;correto
1020.2022/0017172-1;Despacho deferido;1;correto
1020.2022/0017173-0;Despacho deferido;1;correto
1020.2022/0017174-8;Despacho deferido;1;correto
1020.2022/0017175-6;Despacho deferido;1;correto
1020.2022/0017176-4;Despacho deferido;1;correto
1020.2022/0017177-2;Despacho deferido;1;correto
1020.2022/0017178-0;Despacho deferido;1;correto
1020.2022/0017179-9;Despacho deferido;1;correto
1020.2022/0017180-2;Despacho deferido;1;correto
1020.2022/0017181-0;Despacho deferido;1;correto
1020.2022/0017182-9;Despacho deferido;1;correto
1020.2022/0017183-7;Despacho deferido;1;correto
1020.2022/0017154-3;Despacho deferido;1;correto
1020.2022/0017152-7;Despacho deferido;1;correto
1020.2022/0017117-9;Despacho deferido;1;correto
1020.2022/0017134-9;Despacho deferido;1;correto
