n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
53211/2021;1020.2021/0017833-3;18/08/2023;GTEC;2024.08.02
53455/2021;1020.2021/0017826-0;03/02/2023;GTEC;2024.08.02
53471/2020;1020.2020/0008173-7;06/03/2023;GTEC;2024.08.02
53507/2021;1020.2020/0000620-4;03/04/2023;GTEC;2024.08.02
53507/2021;1020.2020/0000620-4;24/01/2023;GTEC;2024.08.02
53525/2020;1020.2020/0005755-0;19/10/2022;GTEC;2024.08.02
53653/2020;1020.2020/0005753-4;02/10/2023;GTEC;2024.08.02
53653/2020;1020.2020/0005753-4;20/07/2023;GTEC;2024.08.02
53813/2021;1020.2021/0017407-9;05/09/2023;GTEC;2024.08.02
53922/2020;1020.2020/0006823-4;01/11/2022;GTEC;2024.08.02
5397/2023;1020.2023/0003756-3;03/04/2024;GTEC;2024.08.02
53975/2020;1020.2020/0006877-3;10/01/2023;GTEC;2024.08.02
53975/2020;1020.2020/0006877-3;11/04/2023;GTEC;2024.08.02
53975/2020;1020.2020/0006877-3;21/11/2022;GTEC;2024.08.02
53991/2020;1020.2020/0014757-6;13/06/2023;GTEC;2024.08.02
